spot_name,lat,lon,date,time,availability
St. Stephen's Green,53.337858,-6.259212,2025-08-05,12:00,1
Custom House,53.349015,-6.245959,2025-08-03,16:00,1
Custom House,53.348919,-6.246085,2025-08-02,21:00,1
Jervis Street,53.347442,-6.264077,2025-08-07,22:00,0
Pearse Station,53.343001,-6.250984,2025-08-02,15:00,1
Jervis Street,53.347632,-6.264032,2025-08-03,08:00,1
Heuston Square,53.345823,-6.292046,2025-08-06,18:00,1
Parnell Carpark,53.352256,-6.263646,2025-08-07,11:00,1
St. Stephen's Green,53.3374,-6.259227,2025-08-03,12:00,0
Parnell Carpark,53.352279,-6.262831,2025-08-07,11:00,0
Parnell Carpark,53.352187,-6.263219,2025-08-01,22:00,0
Dawson Street,53.340494,-6.258558,2025-08-07,18:00,0
Dawson Street,53.340082,-6.258258,2025-08-05,08:00,0
Jervis Street,53.347634,-6.264069,2025-08-05,18:00,0
St. Stephen's Green,53.33803,-6.259479,2025-08-02,10:00,1
Camden Lane,53.332111,-6.264808,2025-08-06,09:00,1
Heuston Square,53.346471,-6.292239,2025-08-03,12:00,1
Pearse Station,53.343352,-6.250706,2025-08-06,10:00,0
Dawson Street,53.339738,-6.258252,2025-08-06,07:00,1
Camden Lane,53.332472,-6.264861,2025-08-01,18:00,0
Dawson Street,53.33998,-6.258154,2025-08-03,14:00,0
Pearse Station,53.34324,-6.250622,2025-08-07,18:00,0
Parnell Carpark,53.352362,-6.263366,2025-08-05,08:00,1
Jervis Street,53.348257,-6.264614,2025-08-03,11:00,1
Parnell Carpark,53.352498,-6.262816,2025-08-01,12:00,1
St. Stephen's Green,53.337201,-6.258722,2025-08-05,20:00,0
Custom House,53.348377,-6.246342,2025-08-03,13:00,1
Dawson Street,53.340674,-6.258012,2025-08-03,10:00,1
Camden Lane,53.331825,-6.26496,2025-08-05,07:00,1
Heuston Square,53.345826,-6.291741,2025-08-07,12:00,1
Heuston Square,53.345866,-6.291755,2025-08-03,13:00,0
Pearse Station,53.342617,-6.250409,2025-08-02,08:00,0
Parnell Carpark,53.352121,-6.262927,2025-08-06,16:00,1
Custom House,53.349019,-6.245601,2025-08-06,21:00,1
Heuston Square,53.346799,-6.291519,2025-08-05,12:00,1
Dawson Street,53.339705,-6.258368,2025-08-01,08:00,1
Pearse Station,53.342621,-6.250259,2025-08-04,18:00,1
Ormond Quay,53.346916,-6.267047,2025-08-04,22:00,0
St. Stephen's Green,53.337593,-6.258803,2025-08-06,12:00,0
Camden Lane,53.331637,-6.265597,2025-08-05,20:00,0
Pearse Station,53.342979,-6.250273,2025-08-01,07:00,1
Custom House,53.348449,-6.24608,2025-08-06,08:00,1
Jervis Street,53.347927,-6.263965,2025-08-02,13:00,1
Parnell Carpark,53.352382,-6.263477,2025-08-07,14:00,1
Ormond Quay,53.34712,-6.267381,2025-08-02,21:00,0
Pearse Station,53.343371,-6.251079,2025-08-07,12:00,1
St. Stephen's Green,53.337383,-6.259033,2025-08-04,13:00,1
Ormond Quay,53.347122,-6.267252,2025-08-05,22:00,1
Liberty Park,53.344191,-6.2762,2025-08-07,19:00,0
Camden Lane,53.331863,-6.265636,2025-08-02,20:00,0
Dawson Street,53.339909,-6.258433,2025-08-05,16:00,1
Liberty Park,53.343419,-6.276516,2025-08-06,15:00,1
Dawson Street,53.339942,-6.258653,2025-08-02,11:00,0
Parnell Carpark,53.3525,-6.263213,2025-08-05,07:00,0
St. Stephen's Green,53.337438,-6.259176,2025-08-06,16:00,1
Liberty Park,53.343764,-6.276064,2025-08-03,18:00,1
Jervis Street,53.347402,-6.264691,2025-08-03,07:00,0
Camden Lane,53.332551,-6.265698,2025-08-03,13:00,1
Jervis Street,53.348195,-6.264222,2025-08-07,08:00,0
Heuston Square,53.345917,-6.292067,2025-08-03,11:00,1
Parnell Carpark,53.352353,-6.263737,2025-08-01,18:00,0
St. Stephen's Green,53.338027,-6.259161,2025-08-07,15:00,1
Camden Lane,53.331801,-6.265077,2025-08-06,14:00,1
St. Stephen's Green,53.337736,-6.258859,2025-08-06,19:00,0
Liberty Park,53.34332,-6.275718,2025-08-07,15:00,1
Jervis Street,53.347484,-6.264115,2025-08-03,11:00,1
Heuston Square,53.346214,-6.291885,2025-08-01,13:00,0
Dawson Street,53.340507,-6.258344,2025-08-01,14:00,1
Camden Lane,53.331652,-6.265402,2025-08-02,14:00,1
Ormond Quay,53.347199,-6.267077,2025-08-06,10:00,1
Ormond Quay,53.347134,-6.267106,2025-08-04,16:00,0
Custom House,53.348528,-6.246176,2025-08-02,17:00,0
Camden Lane,53.331729,-6.26523,2025-08-01,09:00,0
Liberty Park,53.344157,-6.276411,2025-08-05,19:00,1
Liberty Park,53.344146,-6.275807,2025-08-03,15:00,1
St. Stephen's Green,53.337485,-6.258979,2025-08-04,20:00,1
Camden Lane,53.332379,-6.265314,2025-08-07,15:00,0
Heuston Square,53.346695,-6.292018,2025-08-02,14:00,0
Jervis Street,53.347448,-6.264207,2025-08-04,13:00,0
Custom House,53.34863,-6.24555,2025-08-03,12:00,0
Camden Lane,53.332126,-6.265306,2025-08-05,19:00,0
Liberty Park,53.343667,-6.2765,2025-08-05,19:00,1
Dawson Street,53.339776,-6.258494,2025-08-04,09:00,1
Heuston Square,53.346481,-6.292162,2025-08-03,13:00,0
Jervis Street,53.347433,-6.264751,2025-08-02,19:00,1
Pearse Station,53.342729,-6.250438,2025-08-06,11:00,1
Parnell Carpark,53.351715,-6.263676,2025-08-03,11:00,0
Camden Lane,53.332042,-6.265661,2025-08-02,09:00,1
Dawson Street,53.340021,-6.258297,2025-08-05,13:00,1
St. Stephen's Green,53.337319,-6.258918,2025-08-06,07:00,0
Ormond Quay,53.346462,-6.267271,2025-08-07,18:00,1
Camden Lane,53.332367,-6.264874,2025-08-07,10:00,1
St. Stephen's Green,53.337829,-6.259294,2025-08-04,08:00,1
Dawson Street,53.339732,-6.258079,2025-08-03,07:00,1
St. Stephen's Green,53.337542,-6.258854,2025-08-01,19:00,0
Heuston Square,53.34621,-6.291838,2025-08-03,13:00,0
Custom House,53.348628,-6.246336,2025-08-03,15:00,1
Liberty Park,53.343471,-6.276373,2025-08-02,15:00,1
Custom House,53.348879,-6.246245,2025-08-04,07:00,0
St. Stephen's Green,53.337235,-6.259122,2025-08-02,14:00,1
Ormond Quay,53.347352,-6.266981,2025-08-04,07:00,0
Heuston Square,53.346408,-6.291724,2025-08-05,20:00,0
Liberty Park,53.343942,-6.276596,2025-08-05,17:00,1
Camden Lane,53.331755,-6.265733,2025-08-05,11:00,1
Custom House,53.348437,-6.245826,2025-08-02,07:00,0
Heuston Square,53.346789,-6.291989,2025-08-02,13:00,1
Custom House,53.348381,-6.245951,2025-08-01,08:00,0
Liberty Park,53.343793,-6.275696,2025-08-04,07:00,0
Heuston Square,53.345921,-6.292198,2025-08-05,18:00,0
Custom House,53.348313,-6.245946,2025-08-04,16:00,0
Jervis Street,53.347947,-6.264282,2025-08-05,18:00,1
Ormond Quay,53.346565,-6.266895,2025-08-05,13:00,0
Camden Lane,53.331824,-6.265282,2025-08-06,08:00,0
Pearse Station,53.342696,-6.250577,2025-08-02,13:00,0
Ormond Quay,53.34696,-6.267065,2025-08-01,10:00,0
Dawson Street,53.340441,-6.258328,2025-08-06,08:00,0
Heuston Square,53.346079,-6.29152,2025-08-04,08:00,0
Camden Lane,53.331625,-6.265278,2025-08-03,12:00,0
Heuston Square,53.346495,-6.291994,2025-08-01,08:00,1
Heuston Square,53.346537,-6.291683,2025-08-04,20:00,1
Heuston Square,53.346024,-6.291633,2025-08-04,12:00,1
Jervis Street,53.347694,-6.264785,2025-08-03,11:00,1
Custom House,53.349077,-6.24562,2025-08-05,17:00,1
Parnell Carpark,53.351791,-6.263488,2025-08-03,12:00,0
Pearse Station,53.342894,-6.25114,2025-08-07,10:00,1
Jervis Street,53.348201,-6.263975,2025-08-05,19:00,1
Camden Lane,53.332473,-6.265673,2025-08-05,21:00,1
Camden Lane,53.332134,-6.265593,2025-08-07,08:00,1
Camden Lane,53.332287,-6.264879,2025-08-05,18:00,0
Camden Lane,53.331618,-6.265682,2025-08-06,20:00,1
Custom House,53.348616,-6.245829,2025-08-04,15:00,1
Ormond Quay,53.347103,-6.266774,2025-08-04,14:00,1
Parnell Carpark,53.352538,-6.263503,2025-08-01,20:00,0
Dawson Street,53.340565,-6.258833,2025-08-01,15:00,0
Dawson Street,53.33971,-6.258331,2025-08-01,08:00,1
Parnell Carpark,53.352108,-6.262893,2025-08-03,08:00,1
Liberty Park,53.343872,-6.276286,2025-08-06,11:00,0
Heuston Square,53.346354,-6.291874,2025-08-03,09:00,1
St. Stephen's Green,53.337632,-6.259314,2025-08-05,12:00,1
St. Stephen's Green,53.338029,-6.258998,2025-08-04,13:00,0
Jervis Street,53.347364,-6.264667,2025-08-02,07:00,1
Dawson Street,53.340061,-6.258119,2025-08-03,07:00,0
Liberty Park,53.344241,-6.27631,2025-08-04,10:00,1
Ormond Quay,53.347372,-6.266979,2025-08-01,08:00,0
Ormond Quay,53.347373,-6.267493,2025-08-07,18:00,1
Jervis Street,53.347647,-6.264307,2025-08-04,16:00,1
Jervis Street,53.347564,-6.264897,2025-08-04,16:00,0
Parnell Carpark,53.352493,-6.263378,2025-08-01,10:00,1
Pearse Station,53.343481,-6.250613,2025-08-07,15:00,1
Ormond Quay,53.346535,-6.26682,2025-08-06,16:00,1
Parnell Carpark,53.352472,-6.263154,2025-08-03,10:00,1
Camden Lane,53.332545,-6.265539,2025-08-03,13:00,1
Pearse Station,53.342629,-6.250635,2025-08-02,16:00,0
St. Stephen's Green,53.337109,-6.259448,2025-08-02,14:00,1
St. Stephen's Green,53.338054,-6.25888,2025-08-02,21:00,1
St. Stephen's Green,53.338019,-6.25944,2025-08-03,22:00,1
Custom House,53.349072,-6.246247,2025-08-03,18:00,0
Dawson Street,53.340053,-6.258214,2025-08-06,07:00,1
Liberty Park,53.343646,-6.27609,2025-08-01,14:00,1
Custom House,53.348307,-6.245755,2025-08-04,13:00,1
Heuston Square,53.34643,-6.291739,2025-08-06,17:00,0
Liberty Park,53.343394,-6.276178,2025-08-03,11:00,1
Jervis Street,53.347515,-6.264465,2025-08-06,20:00,1
Dawson Street,53.339807,-6.25814,2025-08-01,09:00,1
Heuston Square,53.346073,-6.291571,2025-08-07,12:00,0
Ormond Quay,53.346863,-6.266833,2025-08-02,17:00,1
Pearse Station,53.343302,-6.250639,2025-08-03,11:00,0
Camden Lane,53.331702,-6.26536,2025-08-05,17:00,1
Pearse Station,53.342705,-6.250506,2025-08-07,16:00,1
Jervis Street,53.347752,-6.264525,2025-08-06,15:00,0
Dawson Street,53.339777,-6.258471,2025-08-06,09:00,1
Heuston Square,53.346091,-6.291833,2025-08-01,12:00,1
Custom House,53.34839,-6.246029,2025-08-04,16:00,0
Jervis Street,53.347419,-6.264118,2025-08-07,08:00,1
Dawson Street,53.340557,-6.258895,2025-08-06,12:00,1
Dawson Street,53.340545,-6.258607,2025-08-02,16:00,0
Parnell Carpark,53.352386,-6.263545,2025-08-03,08:00,0
Pearse Station,53.342825,-6.25056,2025-08-01,12:00,1
Dawson Street,53.340615,-6.258074,2025-08-05,22:00,0
Heuston Square,53.346232,-6.29171,2025-08-06,09:00,1
Dawson Street,53.340008,-6.258566,2025-08-02,19:00,0
Pearse Station,53.342816,-6.25044,2025-08-07,10:00,1
Heuston Square,53.346135,-6.292281,2025-08-03,17:00,1
Dawson Street,53.339728,-6.258302,2025-08-04,19:00,0
Parnell Carpark,53.352361,-6.263231,2025-08-05,22:00,1
Pearse Station,53.343231,-6.251072,2025-08-02,20:00,0
Jervis Street,53.347302,-6.26433,2025-08-01,15:00,1
Custom House,53.348344,-6.245418,2025-08-06,18:00,0
St. Stephen's Green,53.337438,-6.259245,2025-08-07,10:00,1
Ormond Quay,53.346961,-6.266754,2025-08-03,22:00,0
Jervis Street,53.347797,-6.264533,2025-08-03,13:00,0
Custom House,53.348646,-6.245873,2025-08-07,09:00,0
Liberty Park,53.34388,-6.275983,2025-08-06,12:00,0
Camden Lane,53.332532,-6.26541,2025-08-05,19:00,1
Ormond Quay,53.346861,-6.266626,2025-08-06,20:00,1
Heuston Square,53.345849,-6.291391,2025-08-02,18:00,1
Pearse Station,53.343259,-6.250932,2025-08-05,19:00,1
Heuston Square,53.346747,-6.291541,2025-08-07,12:00,1
Jervis Street,53.348017,-6.264085,2025-08-05,12:00,0
Ormond Quay,53.346466,-6.26705,2025-08-03,08:00,0
Dawson Street,53.339936,-6.257903,2025-08-05,22:00,1
Dawson Street,53.340288,-6.257943,2025-08-03,08:00,1
Liberty Park,53.343441,-6.276492,2025-08-04,20:00,0
Liberty Park,53.34336,-6.276481,2025-08-07,19:00,1
Ormond Quay,53.346406,-6.267273,2025-08-07,08:00,1
Liberty Park,53.344022,-6.276532,2025-08-05,17:00,1
Ormond Quay,53.346463,-6.26701,2025-08-03,21:00,1
Pearse Station,53.343283,-6.250586,2025-08-06,09:00,1
St. Stephen's Green,53.337342,-6.258825,2025-08-02,18:00,1
Liberty Park,53.343498,-6.275978,2025-08-01,14:00,0
Dawson Street,53.340644,-6.258244,2025-08-02,17:00,0
Jervis Street,53.347336,-6.264609,2025-08-06,14:00,1
Jervis Street,53.348235,-6.264878,2025-08-02,22:00,1
Dawson Street,53.340159,-6.258728,2025-08-02,18:00,1
Jervis Street,53.347696,-6.264508,2025-08-05,10:00,1
Jervis Street,53.347886,-6.263993,2025-08-05,14:00,1
St. Stephen's Green,53.337964,-6.258616,2025-08-02,16:00,1
Custom House,53.348915,-6.246244,2025-08-02,15:00,1
Camden Lane,53.33213,-6.265357,2025-08-07,22:00,0
Jervis Street,53.347619,-6.263986,2025-08-03,09:00,0
Parnell Carpark,53.351816,-6.263074,2025-08-05,07:00,0
Liberty Park,53.343855,-6.276519,2025-08-05,18:00,1
Jervis Street,53.348266,-6.264734,2025-08-01,10:00,0
St. Stephen's Green,53.337551,-6.259358,2025-08-01,12:00,1
Heuston Square,53.3462,-6.292234,2025-08-07,08:00,0
Liberty Park,53.343351,-6.275724,2025-08-02,21:00,1
Ormond Quay,53.346539,-6.266741,2025-08-07,09:00,1
Jervis Street,53.347329,-6.264632,2025-08-07,09:00,1
Liberty Park,53.343805,-6.275635,2025-08-07,11:00,1
Dawson Street,53.339907,-6.258736,2025-08-03,18:00,0
Parnell Carpark,53.352264,-6.263253,2025-08-03,08:00,0
St. Stephen's Green,53.337415,-6.259546,2025-08-07,09:00,1
Dawson Street,53.340278,-6.257928,2025-08-03,09:00,1
Ormond Quay,53.347068,-6.266654,2025-08-02,10:00,0
Custom House,53.348918,-6.246122,2025-08-06,12:00,1
St. Stephen's Green,53.337888,-6.258811,2025-08-04,09:00,0
Pearse Station,53.343444,-6.250888,2025-08-04,13:00,1
Pearse Station,53.343467,-6.250378,2025-08-06,22:00,1
Jervis Street,53.34739,-6.264219,2025-08-05,17:00,0
Liberty Park,53.344297,-6.276578,2025-08-05,17:00,0
Camden Lane,53.331705,-6.265375,2025-08-03,16:00,0
Pearse Station,53.342527,-6.250873,2025-08-01,07:00,0
Ormond Quay,53.346491,-6.267096,2025-08-05,10:00,0
St. Stephen's Green,53.337681,-6.258804,2025-08-02,12:00,0
Parnell Carpark,53.351687,-6.263441,2025-08-03,17:00,1
Jervis Street,53.347347,-6.264245,2025-08-07,11:00,0
Dawson Street,53.339958,-6.258227,2025-08-04,11:00,1
St. Stephen's Green,53.33768,-6.258983,2025-08-03,22:00,1
Heuston Square,53.346473,-6.292105,2025-08-06,12:00,1
Liberty Park,53.344026,-6.275749,2025-08-02,14:00,0
Pearse Station,53.34322,-6.250849,2025-08-03,10:00,0
Dawson Street,53.340605,-6.258399,2025-08-02,18:00,1
Camden Lane,53.332358,-6.265135,2025-08-01,09:00,0
Custom House,53.348569,-6.245896,2025-08-04,12:00,0
Camden Lane,53.332306,-6.265129,2025-08-07,21:00,0
Custom House,53.348476,-6.245586,2025-08-02,21:00,1
St. Stephen's Green,53.337901,-6.25936,2025-08-06,18:00,0
Jervis Street,53.347834,-6.264128,2025-08-02,11:00,1
Jervis Street,53.348097,-6.264513,2025-08-06,08:00,1
Jervis Street,53.348164,-6.26426,2025-08-05,20:00,0
Camden Lane,53.331974,-6.265219,2025-08-03,22:00,0
Jervis Street,53.347676,-6.264351,2025-08-04,13:00,1
Ormond Quay,53.346558,-6.266684,2025-08-06,14:00,0
Pearse Station,53.343404,-6.250779,2025-08-01,14:00,0
Pearse Station,53.342672,-6.250423,2025-08-02,07:00,1
Camden Lane,53.332171,-6.265019,2025-08-01,19:00,1
Camden Lane,53.331775,-6.265534,2025-08-02,18:00,1
Parnell Carpark,53.35248,-6.263603,2025-08-01,21:00,0
Ormond Quay,53.347002,-6.26667,2025-08-03,13:00,1
Camden Lane,53.331816,-6.26526,2025-08-03,17:00,0
Liberty Park,53.344232,-6.276397,2025-08-02,17:00,0
Ormond Quay,53.346604,-6.266921,2025-08-03,07:00,1
Pearse Station,53.343234,-6.25048,2025-08-07,11:00,1
Dawson Street,53.339938,-6.258139,2025-08-01,12:00,0
Custom House,53.348471,-6.246134,2025-08-03,14:00,1
St. Stephen's Green,53.337655,-6.258992,2025-08-02,20:00,0
Ormond Quay,53.34683,-6.267039,2025-08-02,09:00,1
Parnell Carpark,53.351637,-6.263256,2025-08-04,08:00,0
Heuston Square,53.34621,-6.291519,2025-08-04,11:00,1
Custom House,53.348787,-6.245469,2025-08-01,11:00,0
Camden Lane,53.331681,-6.265413,2025-08-01,07:00,1
Parnell Carpark,53.351916,-6.263099,2025-08-05,19:00,0
Camden Lane,53.332561,-6.265401,2025-08-05,12:00,0
St. Stephen's Green,53.338006,-6.259191,2025-08-05,14:00,0
Liberty Park,53.343392,-6.275902,2025-08-04,13:00,0
Dawson Street,53.340433,-6.258494,2025-08-07,09:00,1
Pearse Station,53.343285,-6.250618,2025-08-01,12:00,1
Parnell Carpark,53.351637,-6.263393,2025-08-06,19:00,1
St. Stephen's Green,53.338062,-6.259306,2025-08-02,07:00,1
Parnell Carpark,53.352223,-6.263764,2025-08-06,16:00,0
Camden Lane,53.331852,-6.265376,2025-08-04,16:00,0
Ormond Quay,53.347092,-6.267539,2025-08-06,12:00,1
Heuston Square,53.346361,-6.292242,2025-08-03,20:00,0
Camden Lane,53.332417,-6.265039,2025-08-02,20:00,1
Pearse Station,53.343486,-6.250492,2025-08-02,19:00,0
St. Stephen's Green,53.337236,-6.258982,2025-08-06,08:00,1
Ormond Quay,53.346578,-6.266889,2025-08-07,08:00,1
Pearse Station,53.343116,-6.25049,2025-08-05,14:00,0
Pearse Station,53.34258,-6.250859,2025-08-03,21:00,0
Pearse Station,53.343166,-6.250566,2025-08-03,19:00,0
Pearse Station,53.342667,-6.250342,2025-08-04,14:00,1
Camden Lane,53.331707,-6.265615,2025-08-07,13:00,1
Pearse Station,53.343074,-6.250567,2025-08-03,22:00,1
St. Stephen's Green,53.338087,-6.258765,2025-08-05,18:00,1
Heuston Square,53.346302,-6.292171,2025-08-05,07:00,1
Pearse Station,53.342619,-6.250252,2025-08-05,19:00,1
Camden Lane,53.332332,-6.264843,2025-08-03,14:00,0
Liberty Park,53.343429,-6.27569,2025-08-02,17:00,0
Liberty Park,53.343599,-6.276229,2025-08-06,18:00,1
Pearse Station,53.342646,-6.250549,2025-08-02,19:00,1
Liberty Park,53.343604,-6.276597,2025-08-07,11:00,0
Parnell Carpark,53.352181,-6.262856,2025-08-06,10:00,0
Dawson Street,53.340609,-6.258161,2025-08-01,15:00,0
Custom House,53.348492,-6.245978,2025-08-07,21:00,1
Liberty Park,53.343598,-6.276035,2025-08-01,19:00,0
Custom House,53.349096,-6.246226,2025-08-05,09:00,0
Liberty Park,53.343572,-6.275693,2025-08-06,17:00,0
Heuston Square,53.346478,-6.292034,2025-08-01,14:00,1
Parnell Carpark,53.352535,-6.263191,2025-08-01,16:00,0
Camden Lane,53.331712,-6.265583,2025-08-07,12:00,1
Camden Lane,53.331997,-6.264872,2025-08-05,10:00,1
Pearse Station,53.342861,-6.250586,2025-08-04,18:00,0
Custom House,53.348783,-6.245708,2025-08-07,15:00,1
Parnell Carpark,53.352439,-6.262945,2025-08-01,19:00,0
St. Stephen's Green,53.337863,-6.258819,2025-08-05,11:00,0
Ormond Quay,53.346475,-6.267274,2025-08-05,10:00,0
Camden Lane,53.332415,-6.265407,2025-08-05,22:00,0
Pearse Station,53.343177,-6.250203,2025-08-04,20:00,0
Pearse Station,53.342543,-6.251171,2025-08-01,16:00,1
Custom House,53.348471,-6.245449,2025-08-04,07:00,1
Camden Lane,53.332334,-6.26553,2025-08-07,21:00,0
Heuston Square,53.34667,-6.292149,2025-08-06,14:00,1
St. Stephen's Green,53.337692,-6.259277,2025-08-05,21:00,1
Liberty Park,53.344034,-6.276451,2025-08-05,13:00,0
Camden Lane,53.332337,-6.265752,2025-08-04,15:00,1
Heuston Square,53.345863,-6.291396,2025-08-03,13:00,1
Ormond Quay,53.346998,-6.267271,2025-08-05,22:00,1
Dawson Street,53.340452,-6.25841,2025-08-06,19:00,1
Custom House,53.348537,-6.246391,2025-08-05,15:00,1
Jervis Street,53.347749,-6.264645,2025-08-04,12:00,0
Pearse Station,53.343019,-6.250516,2025-08-07,16:00,1
Ormond Quay,53.347202,-6.267315,2025-08-01,17:00,0
Parnell Carpark,53.351601,-6.263248,2025-08-07,07:00,1
Liberty Park,53.343707,-6.275738,2025-08-03,14:00,1
Liberty Park,53.344074,-6.276275,2025-08-04,21:00,1
Ormond Quay,53.346726,-6.266952,2025-08-05,18:00,1
Pearse Station,53.342813,-6.25026,2025-08-02,17:00,0
Custom House,53.348293,-6.245511,2025-08-05,08:00,1
Ormond Quay,53.347326,-6.267517,2025-08-06,18:00,1
Pearse Station,53.342615,-6.250297,2025-08-04,15:00,1
Liberty Park,53.343983,-6.276489,2025-08-07,07:00,1
Heuston Square,53.3459,-6.291841,2025-08-05,15:00,1
St. Stephen's Green,53.337719,-6.258848,2025-08-04,08:00,1
Parnell Carpark,53.351666,-6.263743,2025-08-01,07:00,0
Dawson Street,53.339716,-6.258721,2025-08-04,09:00,1
Liberty Park,53.344197,-6.276042,2025-08-04,20:00,1
Liberty Park,53.343905,-6.276456,2025-08-01,17:00,0
Parnell Carpark,53.352492,-6.263395,2025-08-06,20:00,1
Parnell Carpark,53.35238,-6.263395,2025-08-05,14:00,1
Ormond Quay,53.346469,-6.266727,2025-08-06,17:00,0
St. Stephen's Green,53.33753,-6.25938,2025-08-05,13:00,1
Liberty Park,53.344038,-6.275784,2025-08-05,18:00,0
Camden Lane,53.332101,-6.265173,2025-08-05,20:00,1
Camden Lane,53.331624,-6.265461,2025-08-05,18:00,0
Pearse Station,53.343188,-6.250654,2025-08-07,22:00,1
Pearse Station,53.34286,-6.251028,2025-08-04,15:00,0
Liberty Park,53.344272,-6.275926,2025-08-03,22:00,1
Camden Lane,53.332223,-6.264884,2025-08-07,20:00,1
St. Stephen's Green,53.337743,-6.259519,2025-08-02,16:00,1
Parnell Carpark,53.351683,-6.262973,2025-08-06,19:00,1
Jervis Street,53.347478,-6.264012,2025-08-05,21:00,0
Heuston Square,53.346561,-6.291704,2025-08-04,18:00,1
Dawson Street,53.339829,-6.257977,2025-08-02,13:00,1
St. Stephen's Green,53.337848,-6.25902,2025-08-02,20:00,1
Liberty Park,53.343553,-6.275975,2025-08-01,07:00,1
St. Stephen's Green,53.337358,-6.259073,2025-08-07,18:00,0
Custom House,53.348277,-6.245678,2025-08-04,20:00,0
Jervis Street,53.347774,-6.264855,2025-08-01,21:00,0
Heuston Square,53.346261,-6.29148,2025-08-04,07:00,1
Pearse Station,53.343101,-6.250543,2025-08-06,19:00,0
Jervis Street,53.347413,-6.264451,2025-08-04,22:00,0
Custom House,53.348295,-6.245954,2025-08-02,08:00,1
Jervis Street,53.347844,-6.264034,2025-08-07,16:00,1
Liberty Park,53.343308,-6.276369,2025-08-06,07:00,1
Parnell Carpark,53.352038,-6.263661,2025-08-03,14:00,1
St. Stephen's Green,53.337306,-6.259381,2025-08-06,21:00,1
Heuston Square,53.345895,-6.291797,2025-08-07,08:00,1
Pearse Station,53.342943,-6.250643,2025-08-07,21:00,1
St. Stephen's Green,53.337282,-6.259567,2025-08-01,13:00,0
Parnell Carpark,53.351781,-6.263666,2025-08-06,21:00,0
Heuston Square,53.345826,-6.291378,2025-08-02,10:00,1
Pearse Station,53.342606,-6.250271,2025-08-04,17:00,0
Dawson Street,53.340548,-6.258861,2025-08-06,11:00,1
Camden Lane,53.331649,-6.264957,2025-08-01,22:00,0
Parnell Carpark,53.352248,-6.26308,2025-08-05,18:00,0
St. Stephen's Green,53.337929,-6.258744,2025-08-07,15:00,0
Ormond Quay,53.346689,-6.267177,2025-08-04,16:00,1
Custom House,53.348355,-6.245522,2025-08-01,12:00,0
Custom House,53.348915,-6.24559,2025-08-02,19:00,1
St. Stephen's Green,53.337284,-6.258772,2025-08-02,13:00,0
Jervis Street,53.347354,-6.264375,2025-08-06,16:00,0
Liberty Park,53.344023,-6.276429,2025-08-07,22:00,0
Ormond Quay,53.347137,-6.266988,2025-08-04,15:00,1
Jervis Street,53.347894,-6.264188,2025-08-04,18:00,1
Dawson Street,53.34012,-6.258149,2025-08-05,14:00,0
Camden Lane,53.331767,-6.264908,2025-08-06,13:00,1
Pearse Station,53.342577,-6.250733,2025-08-05,10:00,0
Ormond Quay,53.346743,-6.267148,2025-08-01,19:00,1
Heuston Square,53.346335,-6.291344,2025-08-01,16:00,1
Camden Lane,53.331912,-6.264813,2025-08-06,21:00,1
